x,Curve1
0.0690476,2.47101
0.0693651,2.56111
0.0695238,2.64243
0.0703175,2.37208
0.0707937,2.71053
0.0714286,2.30832
0.0720635,2.80281
0.074127,2.22694
0.0747619,2.87088
0.075873,2.17855
0.0780952,2.93675
0.0793651,2.11694
0.081746,2.98062
0.0831746,2.08608
0.085873,3.0157
0.0880952,2.05301
0.0895238,3.0332
0.0915873,2.05073
0.0919048,3.03314
0.0960317,2.07042
0.0969841,3.01106
0.1,2.0967
0.100952,2.97141
0.103651,2.14058
0.104127,2.92738
0.105714,2.18009
0.106667,2.86579
0.108254,2.25037
0.109365,2.2965
0.109524,2.7932
0.111429,2.3492
0.111746,2.70304
0.112857,2.43049
0.113016,2.59312
0.113175,2.52059
