x,Curve1
0.901713,2.50439
0.902102,2.45175
0.90301,2.53509
0.903636,2.42105
0.90459,2.55702
0.905573,2.39474
0.90642,2.57456
0.907881,2.37719
0.90825,2.59211
0.909938,2.36404
0.910363,2.60088
0.912028,2.34649
0.912226,2.61404
0.914303,2.33333
0.914306,2.62719
0.916202,2.63596
0.916328,2.32456
0.918314,2.64474
0.918604,2.3114
0.920427,2.65351
0.920629,2.30263
0.922323,2.66228
0.922871,2.29386
0.924435,2.67105
0.924896,2.28509
0.926331,2.67982
0.927139,2.27632
0.928476,2.68421
0.929164,2.26754
0.930371,2.69298
0.931407,2.25877
0.932517,2.69737
0.933617,2.25439
0.93463,2.70614
0.93561,2.25
0.936775,2.71053
0.9377,2.23246
0.938703,2.71491
0.939692,2.22807
0.940848,2.7193
0.941903,2.22368
0.942993,2.72368
0.944888,2.73246
0.944929,2.19737
0.947066,2.73246
0.947171,2.1886
0.948994,2.73684
0.949196,2.17982
0.951439,2.17105
0.951978,2.74561
0.953432,2.16667
0.954559,2.75
0.955424,2.16228
0.956737,2.75
0.957667,2.15351
0.958882,2.75439
0.959877,2.14912
0.961028,2.75877
0.962088,2.14474
0.963205,2.75877
0.96408,2.14035
0.965133,2.76316
0.966258,2.14035
0.967311,2.76316
0.968468,2.13596
0.969239,2.76754
0.970679,2.13158
0.971384,2.77193
0.972889,2.12719
0.973562,2.77193
0.974881,2.12281
0.975707,2.77632
0.977092,2.11842
0.977885,2.77632
0.97927,2.11842
0.980063,2.77632
0.981448,2.11842
0.982208,2.7807
0.983964,2.13158
0.984168,2.7807
0.986174,2.12719
0.986346,2.7807
0.988352,2.12719
0.988524,2.7807
0.990562,2.12281
0.990702,2.7807
0.99274,2.12281
0.994732,2.11842
